iter	MultiClass
310	0.1026687109
311	0.1023264165
312	0.1018632233
313	0.1011715971
314	0.1008054057
315	0.1004741056
316	0.1001055821
317	0.09983432969
318	0.0991495534
319	0.09878976315
320	0.09853476473
321	0.09803413789
322	0.09766644161
323	0.09715149476
324	0.09653654315
325	0.09620828411
326	0.09604285958
327	0.09551345454
328	0.09504547493
329	0.09460633723
330	0.0941358558
331	0.0937661663
332	0.0935118483
333	0.0933860627
334	0.09266714057
335	0.09222741913
336	0.09190646715
337	0.09154418175
338	0.09128162537
339	0.09088324441
340	0.0905862295
341	0.09029746883
342	0.0899537682
343	0.08957856607
344	0.08930348744
345	0.08903323921
346	0.08869545505
347	0.08833262299
348	0.08792152809
349	0.08739158549
350	0.08712025572
351	0.08673015519
352	0.08651003852
353	0.08632730942
354	0.08612931786
355	0.0857104374
356	0.08551010167
357	0.08522349088
358	0.08476077917
359	0.08442391328
360	0.08412502474
361	0.08378593243
362	0.08350033575
363	0.08299213604
364	0.08279295818
365	0.08257393362
366	0.08224338217
367	0.08181272797
368	0.08158266019
369	0.0811694586
370	0.08075914448
371	0.08044280628
372	0.08017194124
373	0.07991640334
374	0.07957506994
375	0.07939187965
376	0.07896538383
377	0.07860960479
378	0.07831057974
379	0.07798700466
380	0.07778015652
381	0.07752150812
382	0.07721412294
383	0.07715585268
384	0.07699879005
385	0.07670393713
386	0.07640426885
387	0.07626310331
388	0.07611502827
389	0.07577372798
390	0.07554616852
391	0.07530910067
392	0.07501698001
393	0.07470815409
394	0.07439564267
395	0.07408017944
396	0.07377050985
397	0.07339136387
398	0.07312864037
399	0.07290393847
400	0.07259083631
401	0.07236542051
402	0.0720205612
403	0.07176253093
404	0.07154384793
405	0.07126499172
406	0.07098113161
407	0.07059024863
408	0.0704683232
409	0.07033939031
410	0.07015591208
411	0.06994127117
412	0.06979923182
413	0.06948706906
414	0.06909002237
415	0.06895044459
416	0.06874533765
417	0.06848236329
418	0.06823281808
419	0.06806240664
420	0.06772800415
421	0.06752343895
422	0.06731656933
423	0.06707779005
424	0.06672972045
425	0.06647029657
426	0.066219803
427	0.06582934752
428	0.0655491806
429	0.06533010148
430	0.0651546126
431	0.06492984662
432	0.06479502598
433	0.06453005609
434	0.06439646649
435	0.06411782785
436	0.06387652453
437	0.06370697077
438	0.06357067254
439	0.06334479298
440	0.06304476749
441	0.06285060255
442	0.06273098816
443	0.06256442506
444	0.06235278204
445	0.06218264952
446	0.06191989199
447	0.06172990137
448	0.06162733576
449	0.06139501588
450	0.06127034799
451	0.06114080703
452	0.06103545171
453	0.06087089176
454	0.06073734654
455	0.0606143441
456	0.06041411422
457	0.06023360237
458	0.05998569108
459	0.05987163434
460	0.05964251608
461	0.05943373838
462	0.05917869913
463	0.0590168113
464	0.05881179799
465	0.05855515269
466	0.05827037904
467	0.0580316491
468	0.05790876022
469	0.05767269112
470	0.05754748364
471	0.05741398607
472	0.05729923714
473	0.05720179296
474	0.0571410852
475	0.05702115198
476	0.05683725134
477	0.05658973784
478	0.05637371276
479	0.05626697939
480	0.05616625916
481	0.05603343985
482	0.0559533151
483	0.05580945622
484	0.05569038516
485	0.05545358895
486	0.05528500111
487	0.05514335517
488	0.05501422044
489	0.05493559453
490	0.05472237501
491	0.05452458029
492	0.05433551539
493	0.0541500054
494	0.05402559808
495	0.05388406728
496	0.05374139999
497	0.05356137331
498	0.05340169788
499	0.05326955807
